actions,attack_efficiency,avg_action_count,avg_filtered_actions,avg_reward,avg_ships_lost,avg_ships_sent,baseline_avg_reward,baseline_winrate,defense_efficiency,early_reward,empty_action_count,empty_action_rate,episode_index,episode_len,fallback_action_count,fallback_action_rate,filtered_actions,final_win,invalid_action_count,invalid_action_rate,invalid_actions,late_reward,learning_loss,mid_reward,model_action_count,model_version,planets_captured,planets_lost,policy_mean,policy_mode,reward_max,reward_min,reward_sum,ships_lost,ships_sent,value_mean,wall_time_sec
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,0,108,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.043202776461839676,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.03585774824023247,5.771
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,1,151,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,2,0.0,0.0,0.03637015447020531,model_first,0.0,-1.0,-1.0,0.0,0.0,0.07188013195991516,8.268
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,2,149,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,2,0.0,0.0,0.023652711883187294,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.04837728664278984,12.606
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,3,117,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.014253784902393818,model_first,0.0,-1.0,-1.0,0.0,0.0,0.04558173567056656,17.773
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,4,130,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,2,0.0,0.0,0.018675504252314568,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.06241821125149727,22.797
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,5,194,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,2,0.0,0.0,0.03215152025222778,model_first,0.0,-1.0,-1.0,0.0,0.0,0.03343643248081207,26.536
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,6,108,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,3,0.0,0.0,0.02227943204343319,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.07594893127679825,28.656
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,7,151,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,3,0.0,0.0,0.057534705847501755,model_first,0.0,-1.0,-1.0,0.0,0.0,0.017374619841575623,31.472
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,8,130,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,3,0.0,0.0,0.04721762239933014,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.018374372273683548,33.364
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,9,102,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,3,0.0,0.0,0.040460292249917984,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.024012073874473572,35.585
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,10,159,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,3,0.0,0.0,0.02246496081352234,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.07375472784042358,39.506
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,11,190,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,4,0.0,0.0,0.019697604700922966,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.022050030529499054,45.454
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,12,103,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,4,0.0,0.0,0.03766113892197609,model_first,0.0,-1.0,-1.0,0.0,0.0,0.007039349526166916,49.335
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,13,139,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,4,0.0,0.0,0.03671328350901604,model_first,0.0,-1.0,-1.0,0.0,0.0,0.004255864769220352,52.064
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,14,105,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,4,0.0,0.0,0.031249254941940308,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.03819777071475983,55.679
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,15,107,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,4,0.0,0.0,0.027347860857844353,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.06795835494995117,59.694
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,16,94,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.05421498790383339,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.08521483093500137,62.432
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,17,162,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,5,0.0,0.0,0.039924878627061844,model_first,0.0,-1.0,-1.0,0.0,0.0,0.010273575782775879,67.297
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,18,139,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,5,0.0,0.0,0.038845960050821304,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.03778188303112984,70.543
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,19,138,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,5,0.0,0.0,0.05169180408120155,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.02940531075000763,74.172
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,20,117,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,5,0.0,0.0,0.054427940398454666,model_first,0.0,-1.0,-1.0,0.0,0.0,0.01802496239542961,77.702
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,21,90,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.004129736218601465,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.04722069203853607,79.168
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,22,85,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.03080069273710251,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.011459365487098694,82.173
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,23,114,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.041776105761528015,model_first,0.0,-1.0,-1.0,0.0,0.0,0.04303474351763725,84.186
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,24,148,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,6,0.0,0.0,-0.002495442284271121,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.018121786415576935,87.611
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,25,131,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,6,0.0,0.0,0.03375967964529991,model_first,0.0,-1.0,-1.0,0.0,0.0,0.02290632575750351,90.738
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,26,141,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,7,0.0,0.0,0.00805224385112524,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.006783578544855118,94.122
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,27,222,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,7,0.0,0.0,0.030414963141083717,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.020830711349844933,99.233
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,28,109,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,7,0.0,0.0,0.03838784620165825,model_first,0.0,-1.0,-1.0,0.0,0.0,0.043966345489025116,102.215
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,29,126,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,7,0.0,0.0,0.028225047513842583,model_first,0.0,-1.0,-1.0,0.0,0.0,0.0020261816680431366,105.542
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,30,163,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,7,0.0,0.0,0.012270119972527027,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.02135566622018814,109.673
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,31,117,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,8,0.0,0.0,0.01908077299594879,model_first,0.0,-1.0,-1.0,0.0,0.0,0.030965786427259445,112.491
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,32,163,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,8,0.0,0.0,0.03374407812952995,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.02849430963397026,115.909
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,33,114,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,8,0.0,0.0,0.03463483229279518,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.008899085223674774,120.852
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,34,123,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,8,0.0,0.0,0.05042280629277229,model_first,0.0,-1.0,-1.0,0.0,0.0,-0.05796343833208084,123.877
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,35,127,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,8,0.0,0.0,0.03664865717291832,model_first,0.0,-1.0,-1.0,0.0,0.0,0.05096156895160675,126.827
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,36,123,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,-1.0,0.0,9,0.0,0.0,0.04154122248291969,model_first,0.0,-1.0,-1.0,0.0,0.0,0.029780782759189606,128.656
0,0.0,0,0.0,-1.0,0.0,0.0,1.2,1.0,0.0,-1.0,0.0,0.0,37,112,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,9,0.0,0.0,0.017872417345643044,model_first,0.0,-1.0,-1.0,0.0,0.0,0.04157867655158043,133.569
